City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,hilo,20,US,1526226960,88,19.71,-155.08,69.8,3.36
1,ngaoundere,40,CM,1526227200,69,7.32,13.58,82.4,11.41
2,luderitz,0,NA,1526229210,87,-26.65,15.16,60.15,14.2
3,kapaa,20,US,1526226960,88,22.08,-159.32,73.4,14.99
4,klaksvik,92,FO,1526226600,100,62.23,-6.59,46.4,3.36
5,kaitangata,44,NZ,1526229214,86,-46.28,169.85,31.89,4.7
6,santa isabel do rio negro,56,BR,1526229648,81,-0.41,-65.02,82.43,7.05
7,qaanaaq,8,GL,1526229197,95,77.48,-69.36,24.47,4.59
8,tiksi,80,RU,1526229228,85,71.64,128.87,13.67,10.74
9,rikitea,0,PF,1526229204,100,-23.12,-134.97,79.1,5.48
10,georgetown,75,GY,1526227200,94,6.8,-58.16,78.8,4.7
11,geraldton,75,CA,1526227200,19,49.72,-86.95,69.8,23.04
12,ushuaia,20,AR,1526223600,80,-54.81,-68.31,35.6,5.82
13,mahebourg,40,MU,1526227200,73,-20.41,57.7,75.2,3.36
14,chara,40,GR,1526226600,68,39.42,22.43,68.0,9.17
15,north myrtle beach,1,US,1526228100,65,33.83,-78.68,86.0,11.41
16,sao felix do xingu,68,BR,1526229649,64,-6.64,-51.99,85.89,2.91
17,chuy,88,UY,1526229196,90,-33.69,-53.46,65.42,5.26
18,galveston,20,US,1526226960,68,40.58,-86.19,78.8,6.93
19,soma,92,JP,1526229649,99,37.8,140.92,57.77,2.24
20,dikson,80,RU,1526229222,93,73.51,80.55,21.0,9.73
21,sitka,76,US,1526229649,52,37.17,-99.65,87.92,15.43
22,chokurdakh,88,RU,1526229216,91,70.62,147.9,25.23,18.57
23,manaus,40,BR,1526227200,74,-3.13,-59.98,84.2,4.7
24,punta arenas,90,CL,1526227200,100,-53.16,-70.91,37.4,4.7
25,bredasdorp,56,ZA,1526229206,95,-34.53,20.04,60.42,4.92
26,east london,0,ZA,1526223600,82,-33.02,27.91,66.2,6.93
27,santa maria,20,BR,1526223600,68,-29.69,-53.81,66.2,8.05
28,lebu,0,ET,1526229223,33,8.96,38.73,64.43,8.72
